,factor,sector,cash
1999-09,EUR_SMALL,INFOTECH,False
1999-10,EUR_SMALL,ENERGY,False
1999-11,USA_MOM,INFOTECH,False
1999-12,EUR_MOM,INFOTECH,False
2000-01,EUR_MOM,INFOTECH,False
2000-02,EUR_MOM,INFOTECH,False
2000-03,EUR_MOM,INFOTECH,False
2000-04,EUR_MOM,INFOTECH,False
2000-05,EUR_MOM,INFOTECH,False
2000-06,EUR_MOM,INFOTECH,False
2000-07,EUR_MOM,INFOTECH,False
2000-08,EUR_VAL,INFOTECH,False
2000-09,EUR_VAL,HEALTH,False
2000-10,EUR_VAL,INDUST,False
2000-11,EUR_VAL,HEALTH,False
2000-12,EUR_VAL,CONS_STAP,False
2001-01,USA_SMALL,CONS_STAP,False
2001-02,USA_SMALL,CONS_STAP,False
2001-03,USA_SMALL,CONS_STAP,False
2001-04,USA_SMALL,CONS_STAP,False
2001-05,USA_SMALL,MATERIALS,False
2001-06,USA_VAL,MATERIALS,False
2001-07,USA_SMALL,MATERIALS,False
2001-08,USA_SMALL,MATERIALS,False
2001-09,USA_SMALL,MATERIALS,False
2001-10,USA_SMALL,CONS_STAP,False
2001-11,USA_SMALL,MATERIALS,True
2001-12,USA_SMALL,MATERIALS,False
2002-01,USA_SMALL,CONS_STAP,False
2002-02,USA_SMALL,CONS_STAP,False
2002-03,USA_MOM,CONS_STAP,False
2002-04,USA_SMALL,CONS_STAP,False
2002-05,USA_SMALL,CONS_STAP,True
2002-06,USA_SMALL,MATERIALS,True
2002-07,USA_MOM,MATERIALS,False
2002-08,USA_MOM,CONS_STAP,True
2002-09,USA_MOM,CONS_STAP,True
2002-10,USA_MOM,CONS_STAP,True
2002-11,USA_MOM,CONS_STAP,False
2002-12,USA_MOM,MATERIALS,True
2003-01,USA_QUAL,MATERIALS,True
2003-02,USA_QUAL,HEALTH,True
2003-03,USA_QUAL,HEALTH,True
2003-04,USA_QUAL,HEALTH,True
2003-05,USA_SMALL,INFOTECH,False
2003-06,USA_SMALL,INFOTECH,False
2003-07,USA_SMALL,INFOTECH,False
2003-08,USA_SMALL,CONS_DISC,False
2003-09,USA_SMALL,INFOTECH,False
2003-10,USA_SMALL,INFOTECH,False
2003-11,USA_SMALL,INFOTECH,False
2003-12,USA_SMALL,INFOTECH,False
2004-01,USA_SMALL,INFOTECH,False
2004-02,EUR_SMALL,INFOTECH,False
2004-03,EUR_SMALL,MATERIALS,False
2004-04,USA_SMALL,ENERGY,False
2004-05,EUR_SMALL,ENERGY,False
2004-06,EUR_VAL,ENERGY,False
2004-07,EUR_VAL,ENERGY,False
2004-08,EUR_VAL,ENERGY,False
2004-09,EUR_MOM,ENERGY,False
2004-10,EUR_MOM,ENERGY,False
2004-11,EUR_MOM,ENERGY,False
2004-12,USA_VAL,ENERGY,False
2005-01,USA_SMALL,ENERGY,False
2005-02,EUR_SMALL,ENERGY,False
2005-03,EUR_SMALL,ENERGY,False
2005-04,EUR_SMALL,ENERGY,False
2005-05,EUR_SMALL,ENERGY,False
2005-06,EUR_SMALL,ENERGY,False
2005-07,EUR_SMALL,ENERGY,False
2005-08,EUR_SMALL,ENERGY,False
2005-09,EUR_SMALL,ENERGY,False
2005-10,EUR_SMALL,ENERGY,False
2005-11,EUR_SMALL,ENERGY,False
2005-12,EUR_SMALL,INFOTECH,False
2006-01,EUR_SMALL,ENERGY,False
2006-02,EUR_SMALL,ENERGY,False
2006-03,EUR_SMALL,MATERIALS,False
2006-04,EUR_SMALL,MATERIALS,False
2006-05,EUR_SMALL,MATERIALS,False
2006-06,EUR_SMALL,MATERIALS,False
2006-07,EUR_SMALL,MATERIALS,False
2006-08,EUR_SMALL,ENERGY,False
2006-09,EUR_SMALL,ENERGY,False
2006-10,EUR_VAL,CONS_STAP,False
2006-11,EUR_VAL,CONS_DISC,False
2006-12,USA_VAL,ENERGY,False
2007-01,EUR_VAL,CONS_DISC,False
2007-02,EUR_MOM,CONS_DISC,False
2007-03,EUR_SMALL,MATERIALS,False
2007-04,EUR_SMALL,MATERIALS,False
2007-05,EUR_SMALL,MATERIALS,False
2007-06,EUR_MOM,MATERIALS,False
2007-07,EUR_MOM,ENERGY,False
2007-08,EUR_MOM,ENERGY,False
2007-09,EUR_MOM,ENERGY,False
2007-10,EUR_MOM,ENERGY,False
2007-11,EUR_MOM,ENERGY,False
2007-12,USA_MOM,ENERGY,False
2008-01,USA_MOM,ENERGY,False
2008-02,USA_QUAL,ENERGY,False
2008-03,USA_MOM,ENERGY,False
2008-04,USA_MOM,CONS_STAP,False
2008-05,USA_MOM,ENERGY,False
2008-06,USA_MOM,ENERGY,False
2008-07,USA_MOM,ENERGY,False
2008-08,USA_SMALL,ENERGY,False
2008-09,USA_SMALL,CONS_STAP,False
2008-10,USA_SMALL,CONS_STAP,False
2008-11,USA_QUAL,CONS_STAP,True
2008-12,EUR_QUAL,CONS_STAP,True
2009-01,USA_QUAL,CONS_STAP,True
2009-02,USA_QUAL,HEALTH,True
2009-03,EUR_QUAL,CONS_STAP,True
2009-04,USA_QUAL,CONS_STAP,True
2009-05,USA_QUAL,CONS_STAP,True
2009-06,EUR_SMALL,INFOTECH,True
2009-07,EUR_SMALL,INFOTECH,True
2009-08,EUR_SMALL,INFOTECH,True
2009-09,EUR_SMALL,INFOTECH,True
2009-10,EUR_SMALL,INFOTECH,False
2009-11,USA_VAL,INFOTECH,False
2009-12,USA_VAL,INDUST,False
2010-01,USA_VAL,INFOTECH,False
2010-02,EUR_SMALL,CONS_DISC,False
2010-03,USA_SMALL,CONS_DISC,False
2010-04,EUR_SMALL,INDUST,False
2010-05,USA_SMALL,CONS_DISC,False
2010-06,USA_SMALL,CONS_DISC,False
2010-07,EUR_MOM,CONS_DISC,False
2010-08,EUR_SMALL,CONS_DISC,False
2010-09,EUR_SMALL,CONS_DISC,False
2010-10,EUR_MOM,CONS_DISC,False
2010-11,EUR_MOM,CONS_DISC,False
2010-12,EUR_MOM,CONS_DISC,False
2011-01,EUR_MOM,MATERIALS,False
2011-02,EUR_SMALL,ENERGY,False
2011-03,USA_SMALL,ENERGY,False
2011-04,USA_SMALL,ENERGY,False
2011-05,USA_SMALL,ENERGY,False
2011-06,USA_SMALL,ENERGY,False
2011-07,USA_SMALL,ENERGY,False
2011-08,USA_QUAL,ENERGY,False
2011-09,USA_QUAL,HEALTH,False
2011-10,USA_QUAL,CONS_STAP,False
2011-11,USA_QUAL,CONS_STAP,False
2011-12,USA_QUAL,CONS_STAP,False
2012-01,EUR_QUAL,CONS_STAP,False
2012-02,USA_QUAL,INFOTECH,False
2012-03,USA_QUAL,INFOTECH,False
2012-04,USA_QUAL,INFOTECH,False
2012-05,USA_MOM,INFOTECH,False
2012-06,USA_SMALL,CONS_DISC,False
2012-07,USA_MOM,HEALTH,False
2012-08,EUR_MOM,HEALTH,False
2012-09,EUR_SMALL,INFOTECH,False
2012-10,USA_MOM,CONS_DISC,False
2012-11,EUR_MOM,HEALTH,False
2012-12,EUR_MOM,HEALTH,False
2013-01,EUR_MOM,HEALTH,False
2013-02,EUR_VAL,ENERGY,False
2013-03,EUR_SMALL,CONS_DISC,False
2013-04,USA_VAL,CONS_DISC,False
2013-05,USA_VAL,HEALTH,False
2013-06,USA_VAL,CONS_DISC,False
2013-07,USA_VAL,CONS_DISC,False
2013-08,USA_VAL,HEALTH,False
2013-09,USA_VAL,HEALTH,False
2013-10,USA_VAL,CONS_DISC,False
2013-11,USA_VAL,CONS_DISC,False
