,USA_MOM,USA_QUAL,USA_VAL,USA_SMALL,EUR_MOM,EUR_QUAL,EUR_VAL,EUR_SMALL,CONS_DISC,CONS_STAP,ENERGY,HEALTH,INDUST,INFOTECH,MATERIALS
1998-11,,,,,,,,,224.0800018310547,245.27000427246094,185.4499969482422,354.5899963378906,220.2100067138672,394.69000244140625,135.2100067138672
1998-12,563.1795097,769.43304506,384.2275667863629,112.2963098482487,1000.0,797.2839380961782,505.2046987308192,100.0,241.27000427246094,249.39999389648438,183.44000244140625,369.8399963378906,227.92999267578125,452.510009765625,130.08999633789062
1999-01,587.01133783,803.18669109,393.0840620452748,114.3746722939297,1052.7774253129212,820.5525852270616,521.0490309398731,99.90507684195308,254.82000732421875,243.69000244140625,170.05999755859375,368.2699890136719,231.5399932861328,530.6900024414062,127.0199966430664
1999-02,572.08390973,772.99937576,373.1104463149677,104.08549370292543,1046.2879638229572,826.3994776182165,513.3956573196142,102.2207649637966,255.19000244140625,233.32000732421875,168.3300018310547,371.2699890136719,227.32000732421875,465.45001220703125,128.0
1999-03,604.57647657,800.48444966,382.6256123953957,104.55236051303758,1039.1722105840174,846.2466891782893,541.7887022315916,105.52694997518344,266.45001220703125,228.14999389648438,192.88999938964844,379.7699890136719,236.25,507.54998779296875,131.07000732421875
1999-04,606.01491811,807.08310888,415.7209215424441,112.328985470926,1059.104877813032,855.5221307422217,578.8612919729794,113.63712467748914,273.2900085449219,230.67999267578125,220.8800048828125,354.260009765625,256.3699951171875,513.1699829101562,162.58999633789062
1999-05,588.87014059,788.36458542,418.0025193310628,116.15542174953008,1029.2542937781366,839.343453123978,567.14536075109,112.9689314626752,261.3999938964844,231.1199951171875,214.25999450683594,343.7300109863281,248.63999938964844,506.6199951171875,149.8699951171875
1999-06,636.31691708,835.75237461,430.6132260047214,123.15579147400229,1071.176068358726,861.6688640622837,580.6460613576164,114.38651548270896,276.9200134277344,228.25999450683594,216.10000610351562,359.2099914550781,264.92999267578125,566.6099853515625,157.30999755859375
1999-07,614.77342548,813.62979097,422.53101115472793,124.65354138291492,1051.5345729909066,841.658976079406,575.064902042141,112.72963473538934,260.67999267578125,226.05999755859375,218.75999450683594,339.17999267578125,254.97000122070312,562.7000122070312,154.80999755859375
1999-08,611.69402265,821.85809927,419.70557899048737,120.57196575677602,1067.6225776983476,851.2501269205351,582.5261040927099,115.75339943560748,251.50999450683594,221.91000366210938,221.32000732421875,350.17999267578125,252.25999450683594,597.1599731445312,148.27000427246094
1999-09,609.85325946,791.01265791,384.5810207449256,120.17978566487,1062.4659274625026,851.4019494530565,572.3630512299201,112.90238197280256,252.69000244140625,198.75999450683594,212.3300018310547,321.54998779296875,251.02999877929688,594.469970703125,143.72000122070312
1999-10,660.10923411,836.15079149,393.434454809641,119.04130865170616,1133.1777615579217,902.845262970767,589.1765751971432,111.9215530592016,270.489990234375,212.9600067138672,209.22999572753906,356.8699951171875,256.9700012207031,605.0,146.8699951171875
1999-11,687.00034106,861.20215775,400.02603403532913,130.0831995794456,1297.92188956955,979.8383689988568,620.6916336019707,117.67626599012144,273.0799865722656,215.67999267578125,212.2100067138672,358.9200134277344,248.2100067138672,673.1199951171875,144.52000427246094
1999-12,785.89238222,914.90669752,410.3753864793072,148.8676654784969,1536.681346236216,1085.0312891285562,691.1831724273826,126.61627500909428,299.30999755859375,208.0500030517578,212.72000122070312,326.7799987792969,273.3800048828125,807.4400024414062,159.9600067138672
2000-01,731.68977351,858.28047283,398.7215144746365,146.084106872,1538.037810619775,1040.1148405136091,654.3119400310754,130.82058360148392,274.2799987792969,193.8699951171875,209.22000122070312,345.9100036621094,248.39999389648438,745.4000244140625,141.05999755859375
2000-02,757.06018747,847.94187776,392.5118181115064,180.27739639662244,1754.7448900248078,1103.7300205069882,681.3994167907231,141.09228525728656,258.2799987792969,174.00999450683594,196.10000610351562,309.5799865722656,237.5,845.9400024414062,127.19000244140625
2000-03,827.09204987,920.64086104,436.39994418191833,163.4310798123586,1715.4720902510253,1142.9894981035188,691.0244613526809,139.953406378244,287.6300048828125,171.5500030517578,216.6199951171875,326.260009765625,269.3500061035156,916.7100219726562,139.58999633789062
2000-04,783.38384747,891.70062717,440.8892215313942,151.8159329848535,1687.3114451830843,1169.0617369952174,707.9992332027282,137.69181105200235,281.92999267578125,175.72999572753906,214.80999755859375,351.9100036621094,274.17999267578125,833.6799926757812,133.42999267578125
2000-05,734.75822227,869.9392134,433.2361266810072,144.78721430109735,1590.5809663436287,1119.5754061328662,726.9969513426437,133.63148284566725,268.9800109863281,192.32000732421875,234.16000366210938,370.8999938964844,272.32000732421875,746.2000122070312,129.9499969482422
2000-06,778.72634451,926.15620476,420.7286068093469,153.81868407346133,1566.2911544579044,1108.7982823063358,724.9825160440885,133.7046193453094,262.260009765625,193.9600067138672,221.75999450683594,401.67999267578125,265.5400085449219,831.8499755859375,118.08000183105469
2000-07,764.95228003,895.02358431,423.4123270918042,150.38679801840124,1556.1050805217842,1139.3722914659957,761.4103269583106,137.9113057422489,259.0799865722656,191.85000610351562,216.69000244140625,378.9200134277344,267.8500061035156,792.0999755859375,118.73999786376953
2000-08,826.68306937,929.62408308,453.9634915339848,164.7821434279926,1600.7614352513017,1184.588066882148,790.9295700437632,144.71886252550215,253.94000244140625,189.02999877929688,232.3000030517578,380.82000732421875,291.92999267578125,880.7100219726562,120.19999694824219
2000-09,749.75336265,880.16736355,414.9130889689396,164.15516144020145,1466.3406178593643,1157.643161882114,748.0864471399976,141.68975586090826,248.41000366210938,197.22999572753906,239.5800018310547,399.70001220703125,288.1300048828125,715.780029296875,108.2300033569336
2000-10,715.76152004,896.16361777,427.23303282640006,161.89505110187844,1476.2152504449907,1188.9703509222074,783.7602509078198,140.14910077059963,243.60000610351562,220.02999877929688,234.74000549316406,414.0799865722656,295.5899963378906,674.2999877929688,118.62999725341797
